Cust_ID,Age,Customer_Segment
CC25034,35,Diamond
CC59625,22,Diamond
CC69314,33,Diamond
CC67036,46,Diamond
CC25597,44,Diamond
CC57469,22,Diamond
CC15926,50,Diamond
CC31951,46,Diamond
CC32388,26,Diamond
CC48802,44,Diamond
CC88738,25,Diamond
CC56494,35,Diamond
CC55858,30,Diamond
CC64296,27,Diamond
CC96605,39,Diamond
CC46367,37,Diamond
CC59995,28,Diamond
CC65245,45,Diamond
CC86105,46,Diamond
CC15194,38,Diamond
CC58269,43,Diamond
CC30680,35,Diamond
CC71280,36,Diamond
CC92403,42,Diamond
CC63842,22,Diamond
CC99926,40,Diamond
CC67761,25,Diamond
CC54029,25,Diamond
CC47548,30,Diamond
CC31421,40,Diamond
CC60510,41,Diamond
CC40555,47,Diamond
CC28030,23,Diamond
CC30309,21,Diamond
CC68162,45,Diamond
CC45858,24,Diamond
CC77341,22,Diamond
CC52486,26,Diamond
CC82362,42,Diamond
CC98291,42,Diamond
CC77839,36,Diamond
CC96868,21,Diamond
CC46077,49,Diamond
CC86395,31,Diamond
CC58734,34,Diamond
CC53837,25,Diamond
CC57116,40,Diamond
CC54983,27,Diamond
CC32133,28,Diamond
CC12016,39,Diamond
CC32807,31,Diamond
CC56491,50,Diamond
CC61750,48,Diamond
CC68347,27,Diamond
CC95629,40,Diamond
CC58975,50,Diamond
CC63221,23,Diamond
CC90171,40,Diamond
CC46484,49,Diamond
CC58454,25,Diamond
CC59340,25,Diamond
CC45951,23,Diamond
CC30134,34,Diamond
CC27267,36,Diamond
CC47364,29,Diamond
CC25571,36,Diamond
CC84738,39,Diamond
CC83426,30,Diamond
CC12515,35,Diamond
CC59324,44,Diamond
CC86666,46,Diamond
CC42989,35,Diamond
CC86309,45,Diamond
CC62994,48,Diamond
CC98497,46,Diamond
CC42030,45,Diamond
CC17773,38,Diamond
CC53855,39,Diamond
CC90050,29,Diamond
CC93096,42,Diamond
CC15346,25,Diamond
CC11329,42,Diamond
CC27132,25,Diamond
CC94027,35,Diamond
CC85497,24,Diamond
CC32627,24,Diamond
CC93948,29,Diamond
CC53477,47,Diamond
CC43841,30,Diamond
CC43526,21,Diamond
CC76450,25,Diamond
CC21312,45,Diamond
CC72261,25,Diamond
CC78068,41,Diamond
CC28389,42,Diamond
CC16827,36,Diamond
CC54949,33,Diamond
CC30281,36,Diamond
CC35361,41,Diamond
CC82110,24,Diamond
CC53285,29,Diamond
CC76234,49,Diamond
CC11716,43,Diamond
CC90510,33,Diamond
CC71524,39,Diamond
CC67562,26,Diamond
CC75366,30,Diamond
CC94244,31,Diamond
CC91701,45,Diamond
CC27782,44,Diamond
CC22962,46,Diamond
CC69832,35,Diamond
CC67866,39,Diamond
CC46879,50,Diamond
CC36447,43,Diamond
CC47394,48,Diamond
CC30333,28,Diamond
CC12273,30,Diamond
CC41597,47,Diamond
CC60523,33,Diamond
CC66746,44,Diamond
CC57048,47,Diamond
CC69674,20,Diamond
CC95103,32,Diamond
CC28406,45,Diamond
CC54581,31,Diamond
CC14283,35,Diamond
CC63813,27,Diamond
CC27373,26,Diamond
CC34504,26,Diamond
CC50426,40,Diamond
CC33706,32,Diamond
CC62270,39,Diamond
CC34295,37,Diamond
CC61320,21,Diamond
CC48160,40,Diamond
CC24232,30,Diamond
CC18477,34,Diamond
CC23994,50,Diamond
CC70559,38,Diamond
CC66044,37,Diamond
CC84975,37,Diamond
CC89639,24,Diamond
CC35402,26,Diamond
CC98042,33,Diamond
